explanation,text
"Play on words, based on 'Bill Stickers...' notices.",Bill Stickers is innocent
"An extreme standard of comparison; for example, ""It rained like billy-o; we were all soaked through."". ",Billy-o - Like 
Someone with no friends.,Billy no mates
Drinking to excess in a short space of time. ,Binge drinking
"The proverb 'A bird in the hand is worth two in the bush' means  that it's
            better to hold onto something you  have rather than take the risk of getting something better  which may come to nothing.",Bird in the hand is worth two in the bush - A 
'The birds and the bees' is a  phrase that refers to coy explanations about sex and reproduction that are given to children. ,Birds and the bees - The 
Those of similar taste congregate in groups.,Birds of a feather flock together
The reduplicated expression 'bish-bosh' means 'worthless nonsense; trash; foolish talk or opinion'.,Bish-bosh
The triplet 'bish-bash-bosh' has two meanings:  ,Bish-bash-bosh
Accept the inevitable impending hardship and endure the resulting pain with fortitude.,Bite the bullet
"Fall to the ground, wounded or dead.",Bite the dust
"To the
limit of one's efforts - to the last extremity.",Bitter end - The 
" 'As black as Newgate's knocker' means pitch
          black.",Black as Newgate's knocker
"Interactions that occur between black people, notably crime that is perpetrated by one black person against another.",Black-on-black
"A
disreputable or disgraced member of a family.",Black sheep of the family
"Something
  or someone that returns after a period of obscurity or absence. It is normally applied to things that that were thought fondly of previously and are making a welcome return - particularly pop songs. ",Blast from the past - A
To lead the way.,Blaze a trail
"'Bless you!', or sometimes 'God bless you!' or 'God bless!', is a response often said when someone sneezes. ",Bless you! (after a sneeze)
"Uninformed
    and incompetent people leading others who are similarly incapable.",Blind leading the blind - The 
"A game, in which a blindfolded player tries to catch others. ",Blind-man's buff
"Ostentatious, over-the-top jewellery or dress. Often used to demonstrate the wearer's wealth. ",Bling-bling
A glamorous blonde.,Blonde bombshell
"An oath, alluding to mayhem and bloodshed. ",Blood and thunder
 By saying 'blood is thicker than water' we mean that family bonds are closer than those of outsiders.,Blood is thicker than water
A line from Sir Winston Churchill's WWII speech on becoming prime minister of the UK in 1940.,Blood toil tears and sweat
Hard work and effort in  difficult circumstances. ,"Blood, sweat and tears"
"Tiresome, stubborn and obstructive. ",Bloody-minded
"Something
that spoils the view or ruins a previously comfortable situation.",Blot on the landscape
Fart.,Blow a raspberry - see raspberry tart
To make public a secret or reveal a plot.,Blow the gaff
Expand your mind by use of hallucinatory drugs.,Blow your mind
"Act in a boastful, self-promoting manner.",Blow your own trumpet
Disintegrated into small fragments by a sudden impact or explosion. ,Blown to smithereens
The blood that which flows in the veins of old and aristocratic families.,Blue blood
Very rarely. ,Blue moon (Once in a)
A set meal provided at a reduced price. ,Blue-plate special
"'Bob's your uncle'  is an archetypically English phrase and is so familiar here for it to have spawned jokey variants. As 'take the Mickey' has an extended alternative 'extract the Michael', 'Bob's your uncle' is sometimes extended to 'Robert's your auntie's husband'. People  in other English speaking countries won't be so familiar with the phrase, so I'll give some examples that may explain the meaning. ",Bob's your uncle
"To foreshadow a successful outcome, indicated by some circumstance or event.",Bode well
A 'Bodice ripper' is a sexually suggestive romantic novel; usually in a historical setting and always with a plot involving the seduction of the heroine.,Bodice ripper
"All of the phrases below contain a reference to a part of the human body - brain, shoulder, face, toe etc. There are more of them than you might expect, around 600 here and no doubt you can think of a few others...",Body - phrases related to the human body 
"Surfing (a.k.a. surfboarding) is, in its literal meaning, the riding of a wave while standing or lying on a surfboard. ",Body surfing
Things which are 'bog standard' are those which are basic and unrefined - run of the mill.,Bog standard
 The simile 'as bold as brass' means 'very bold; blatant.,Bold as brass
"A
complete surprise, like
a bolt of lightning from a clear blue sky - literally 'out of the blue'.",Bolt from the blue
Completely dry.,Bone dry
Utterly lazy.,Bone idle
"To study hard, usually in preparation for a test.",Bone up on
A prize given to make fun of the loser in a contest or game.,Booby prize
A practical joke. Also a concealed and possibly lethal trap.,Booby trap
"A style of blues music, with close links to jazz forms like ragtime and stride, usually played on the piano. ",Boogie-woogie
