company,slogan
"'Up the pole' has various meanings, including:",Up the pole
"Ball State University in Muncie, USA",Education redefined.
SBI Credit Card in India,Make life simple.
High Street Road Animal Hospital,Friendly professional care.
"Imaginovation, website design & mobile apps development firm",Imagination turns to innovation.
"A
disreputable or disgraced member of a family.",Black sheep of the family
Falcon Naturopathic Centre,Expressing vitality naturally!
The belief that the third time something is attempted is more likely to succeed than the previous two attempts. It is also used as a good luck charm - spoken just before trying something for the third time. ,Third time lucky
"Domino's Pizza, worldwide chain",Domino's. The Pizza Delivery Experts
Lake Champagne Campground in Vermont,The champagne of campgrounds.
Lombard Physiotherapy Clinic,A relaxed and welcoming environment.
"Language Link, Russian translation bureau",Bridging the language divide.
Cumberland School of Law at Samford University,Where good people become exceptional lawyers.
MRF Mogrip range of tyres,Go where the moment takes you.
"Pet Express, pet stores in Massachusetts",Come meet your new best friend.
Toyota car brand,The best built cars in the world.
"Tiresome, stubborn and obstructive. ",Bloody-minded
That which is deserved. A reward for what has been done - good or bad. ,Just deserts
"Coecreative, modern graphic design studio","Small studio, big ideas."
"CEAT, tyre manufacturer in India",CEAT. Superior grip.
You cannot extract what isn't there to begin with.,You can't get blood out of a stone
World Mastercard,More living. Less limits.
Sqwincher Sports Drinks,Professional grade hydration.
Dr Stuart's herbal and fruit teas,There's a better you inside.
Presto Call live answering service,Contact us today.
To be  satisfied with one's past success and to consider further   effort unnecessary.,Laurels - rest on one's 
"Completely
          bald.",Bald as a coot
"Dr. Nick Seddon, dentist in West Vancouver",Changing lives one smile at a time.
"Wonder Works, toy store in Charleston",Toys for all ages of imagination.
"Guaranteed Rate, home loan lender","Get a low, low rate."
Smart car - a brand of DaimlerChrysler,Smart. Open your mind.
London City Airport,Flying but faster.
Holeproof Computer Socks,"They fall up, not down."
Yorkshire butter,The traditional taste of Yorkshire.
HCA Hospitals in the UK,World class hospitals. World class future.
Kings Domain Barber Shop in South Yarra,Superior cuts.
To be 'as snug as a bug in a rug' is to be very comfortable and cosy.,Snug as a bug in a rug
"Maroon Baboon, design agency in England","High quality, affordable graphic design."
"Mortgage Choice, mortgage broking firm in Australia",Let's make the right move.
"Paslode, brand of cordless and pneumatic nailers and staplers",The power in power fastening.
"VeroLing Translation Agency in Krakow, Poland",You deserve to understand.
"Tapologo Hospice, South Africa","A place of hope, healing and compassion."
"Falke clothing brand, legwear, underwear, knitwear",Form follows you.
"This is the mantra chanted by 'dries' during the prime ministerial reign of Margaret Thatcher, by which they demonstrated their belief that free-market capitalism was the only possible economic theory. It was said so often amongst them that it was shortened to TINA. The hard-right Thatcherites called themselves 'dries' to demonstrate their opposition to the 'wets', that is, the One-Nation Tories whom Thatcher despised. Wet was the public school nickname for any boy who showed any sign of caring for his fellow beings.",There is no alternative
"Charleston seaport, South Carolina",The pros of productivity.
Magda’s Cake Shop in Bakersfield,"You've tried the rest, now try the best."
"Century FM radio station, UK",Music for adults who never grow up
Very enthusiastic.,Keen as mustard
"Janome embroidery and sewing machines, sergers",Believe in your creativity.
Paradiso Backpackers Hostel in Nelson,The place to stay.
"Burger King, hamburger fast food restaurants","Your way, right away."
Heineken beer,Lager Beer at its Best.
"Netmosphere Design, full service web design studio in Toronto",Ideas as infinite as space.
"Flora, brand of margarine and spreads",Better butteryness.
Amica Mutual Insurance Company,We keep our promises to you.
Abbott's Frozen Custard stores,It's always been about the taste!
Pierre's Point Campground,Family atmosphere campground and pets allowed.
"Dr. Laura Schissell, naturopath and chiropractor",Working together to optimize your health.
A pointless undertaking. ,Fool's errand
"Don't waste your time looking for the mythical 'third word ending in GRY'. If you have come here looking for it, read the explanation
below and relax - you can stop searching. The story goes like this:",Gry - Words ending in
Lovin' Scoopful gourmet light ice cream,It loves you as much as you love it.
Almaguin Campground and Cottage Rental Resort,Where families camp!
An imaginary street where people in difficulty live. ,Queer Street
"Winn-Dixie grocery stores, American supermarket chain",Winn-Dixie. Getting better all the time.
Patek Philippe luxury watch brand,Patek Philippe. Begin your own tradition
Monton Marketing Company in Manchester,Our business is marketing your business.
Dell Computers,Be direct.
Happy Socks,All play. No work.
Pedigree brand,"You keep them happy, we'll keep them healthy"
Toyota car brand,"Oh, what a feeling!"
Lionhart tires,"Behold, the new king of the road."
Drench juicy spring water,A tasty way to stay hydrated.
"The Hired Pens, copywriting agency in Somerville",We choose your words carefully.
"Macleans dental care brand, toothpaste and toothbrushes",Maclean your teeth!
"A
'bad hair day' originally had a literal meaning - a day on which one's hair seems unmanageable. The expression's meaning has been extended to mean a day when everything seems to go wrong.",Bad hair day
Crazy; eccentric. ,Bats in the belfry
Very cold.,Cold as any stone
Outer Banks Yoga and Pilates Studio in Kitty Hawk,Be the change you wish to see in the world.
PainCare Physio & Foot Clinic,Healthcare from head to toe.
"BNP Paribas Bank, European banking and financial group",BNP Paribas. The bank for a changing world
Delta Sonic Car Wash,The kissing clean car wash.
Wall Street Journal,The daily diary of the American dream
"Make a small allowance (of money, food etc.) last until stocks are replenished. ",Tide over
Kelowna Manual Therapy Clinic,Put yourself in good hands.
"Siesta Motel, Florida Keys",Cleanest rooms in paradise.
Take a dominant position. ,The upper hand
"In
  a superior or advantageous position.",Catbird seat - In the
"Taylor’s Port wine brand, Portugal",Taylor’s. The Home of Port.
Carling beer,Carling. Spot On.
Agape Yoga Studio in St. Louis,Tend the body. Expand the mind. Feel the soul.
Change direction.,About face
Pall Mall tobacco brand,Pall Mall. Wherever particular people congregate
"To be at sixes and sevens is to be at a  state of confusion and disorder, or of disagreement between parties.",Sixes and sevens - At 
Align Pilates in Minneapolis,See what your body can do.
Saskatoon City Hospital Foundation,People caring for people.
Australian Security Company in Queensland,We care as much as you do.
Franklin Outdoor Advertising,We'll get your attention!
"Clean Sweep, office cleaning company",Our business is to make your business shine.
Wheaton College in Illinois,For Christ and his kingdom.
"'A rising tide lifts all boats' is a fairly recent proverbial saying - given that most proverbs are centuries old. It is most often used today to refer to the movements of prices on the stock market or the economy generally. The notion as regards the stock market is that a rising 'bear' market causes all stocks to rise in value, even weak ones. As regards the economy the idea is of a Reaganistic trickle down effect, that is, if those at the top of the economic pile do well then so do all others.",A rising tide lifts all boats
Nestle Aero chocolate bar,Feel the bubbles.
Richmond Fine Dentistry,Dentistry that makes you smile!
Kesson Physiotherapy,Put yourself in our hands.
Literal meaning. ,Camera cannot lie - The 
"AnswerPhone, business call center and telephone answering service",AnswerPhone. A better answer.
Fairmont Hotels & Resorts,Places in the heart.
Jarlsberg cheese from Norway,Only Jarlsberg is Jarlsberg.
"Ocean Spray brand, juices and juice drinks",Ocean Spray. Crave the wave.
"High Priestess, tattoo design and piercing in Eugene",Creators of fine body modifications since 1996.
"Clear Channel Outdoor, worldwide outdoor advertising company",We're thinking big.
The proverb 'a barking dog never bites' isn't really about dogs. It puts forward the opinion that people who are loud and threatening don't back up their threats with action.,Barking dogs never bite
"Cruise Specialists, luxury cruise agency",Dedicated to luxury cruising.
Fitness Formula Clubs in Chicago,Where membership means something.
Zealous and eager.,Gung ho
"Estwing, hammers, striking and struck tools",Proudly made in the USA since 1923.
Petland Pet Stores,Petland pets make life better!
"UniCredit bank, Italy",UniCredit. At the service of your ideas.
Regional Physiotherapy Centre Inc.,Excellence in physical therapy.
"Miami Valley Hospital in Dayton, Ohio",The region's leader.
Malibu Beachwear & Bikinis in Malaysia,Love the beach.
"Complete Chiropractic in London, Canada",Treating more than just back pain.
Hilton Dusseldorf,We invite you to try it.
"Extreme Dentistry, dental Implants, tooth whitening, teeth removal",Leading the way in results driven care.
Exceedingly old.,As old as the hills
"Blue Bell Creameries, manufacturer of Blue Bell ice cream",We eat all we can and sell the rest.
Larry H. Miller Dealerships,Driven by you.
"Tryst Coffeehouse, Bar, Lounge in Washington","No corporate coffee, no matching silverware."
The final additional small burden that makes the entirety of one's difficulties unbearable.,The last straw
"H2O Taxi, inner Victoria harbour water taxi, Canada","Happy people, happy boats!"
"Royal Fig Catering Company in Austin, Texas",Simple. Seasonal. Fresh.
IBM (International Business Machines) Computers,IBM. Computers help people help people.
